Entry Index,Exit Index,Trade Duration,Entry Price,Exit Price,Returns for Trade in %,Type of Trade,Trade Close By,No. of Stocks Traded,Profit/Loss,Capital,Max Drawdown for Trade,Max Dip for Trade
598,599,1,5170.27,5236.9,1.2887141290493378,long,signal,265,17656.949999999786,1388716.5899999999,0.0,0.0
601,602,1,5308.25,5017.37,-5.479772052936469,long,signal,261,-75919.68000000002,1312796.91,5.783048346754559,5.466895156772048
605,606,1,5131.3,5024.95,-2.07257420146942,long,Max Drawdown Limit,255,-27119.250000000095,1285677.66,2.109335087925538,2.065761260818324
614,615,1,5493.31,5415.0,-1.425552171641513,long,Max Drawdown Limit,234,-18324.540000000095,1267353.1199999999,1.4458906291247413,1.4252826015503792
618,619,1,5295.69,5307.52,0.2233892089605101,long,Max Drawdown Limit,239,2827.3700000002,1270180.49,0.0,0.0
624,625,1,5772.69,5829.45,0.9832504430343605,long,Max Drawdown Limit,220,12487.200000000048,1282667.6900000002,0.0,0.0
626,627,1,5775.62,5747.79,-0.48185303049715744,long,Max Drawdown Limit,222,-6178.259999999984,1276489.4300000002,0.4840040077731007,0.4816726926363919
628,629,1,5846.34,5987.29,2.4109100736529148,long,Max Drawdown Limit,218,30727.099999999962,1307216.53,0.0,0.0
630,631,1,6209.18,6373.33,2.6436663134262437,long,Max Drawdown Limit,210,34471.49999999993,1341688.03,0.0,0.0
632,633,1,7076.22,6967.31,-1.5390985582698085,long,Max Drawdown Limit,189,-20583.989999999972,1321104.04,1.558090004781152,1.5341860059674222
634,635,1,7790.71,7947.56,2.0132953222491965,long,Max Drawdown Limit,169,26507.65000000006,1347611.6900000002,0.0,0.0
636,637,1,8169.87,7866.59,-3.712176570741025,long,Max Drawdown Limit,164,-49737.919999999955,1297873.7700000003,3.8322617460710307,3.6908198681476203
638,639,1,7355.26,7257.45,-1.3297966353330868,long,Max Drawdown Limit,176,-17214.56000000007,1280659.2100000002,1.3441952289555668,1.326366276745084
640,641,1,8148.48,7938.15,-2.581217601319509,long,Max Drawdown Limit,157,-33021.80999999999,1247637.4000000004,2.646747364258222,2.5785009581120195
642,643,1,7904.87,7628.43,-3.4970847085404264,long,Max Drawdown Limit,157,-43401.079999999936,1204236.3200000003,3.6040334674509786,3.478661348241088
646,647,1,8025.41,8614.43,7.339438109704058,long,Max Drawdown Limit,150,88353.00000000006,1292589.3200000003,0.0,0.0
648,649,1,8756.32,8715.64,-0.46457872713651727,long,Max Drawdown Limit,147,-5979.960000000043,1286609.36,0.464784431538738,0.4626341798956063
651,652,1,8269.54,8555.0,3.451945331904787,long,Max Drawdown Limit,155,44246.299999999865,1330855.66,0.0,0.0
659,660,1,7980.53,7893.62,-1.0890254156052275,long,Max Drawdown Limit,166,-14427.059999999976,1316428.5999999999,1.095924230148149,1.0840439300532454
668,669,1,8953.33,9313.96,4.027886830933286,long,Max Drawdown Limit,147,53012.609999999884,1369441.2099999997,0.0,0.0
670,671,1,9081.55,9255.49,1.9153118135120166,long,signal,150,26091.000000000076,1395532.2099999997,0.0,0.0
672,673,1,9517.12,10159.86,6.753513668000401,long,signal,146,93840.03999999996,1489372.2499999998,0.0,0.0
674,675,1,10729.5,10906.07,1.6456498438883427,long,signal,138,24366.65999999996,1513738.9099999997,0.0,0.0
676,677,1,11056.59,11820.86,6.912348201389401,long,signal,136,103940.72000000006,1617679.6299999997,0.0,0.0
678,679,1,13093.8,11329.99,-13.470573859383828,long,ID,123,-216948.62999999995,1400730.9999999998,15.488243638500176,13.411099823269701
680,681,1,12400.63,11903.13,-4.011892944148806,long,Max Drawdown Limit,112,-55720.0,1345010.9999999998,4.142717048410757,3.977922955942291
682,683,1,10854.1,10624.93,-2.1113680544678974,long,Max Drawdown Limit,123,-28187.91000000001,1316823.0899999999,2.140599615397078,2.095738250467834
695,696,1,11355.76,10174.18,-10.405115993997759,long,Max Drawdown Limit,115,-135881.69999999998,1180941.3899999997,11.506218780256336,10.31890320209985
699,700,1,9667.92,10627.16,-9.921885989954403,short,Max Drawdown Limit,122,-117027.27999999997,1063914.1099999996,10.999692446977704,9.909660292285976
701,702,1,10504.29,10740.23,2.246129914539666,long,Max Drawdown Limit,101,23829.939999999868,1087744.0499999996,0.0,0.0
709,710,1,9476.52,9541.54,-0.6861168445800825,short,Max Drawdown Limit,114,-7412.28000000005,1080331.7699999996,0.6861114525957179,0.6814360418703307
711,712,1,9507.64,9574.21,-0.7001737550012381,short,Max Drawdown Limit,113,-7522.409999999967,1072809.3599999996,0.701187953841111,0.6963055432499147
716,717,1,10816.86,10929.23,1.0388412163973553,long,Max Drawdown Limit,99,11124.6299999999,1083933.9899999995,0.0,0.0
718,719,1,11828.8,11481.69,-2.934448126606239,long,Max Drawdown Limit,91,-31587.009999999886,1052346.9799999995,3.0015774835026394,2.9141082659470823
720,721,1,11975.03,11999.77,0.2065965596745877,long,Max Drawdown Limit,87,2152.379999999981,1054499.3599999994,0.0,0.0
731,732,1,10306.78,10915.54,5.906403357789729,long,Max Drawdown Limit,102,62093.52000000002,1116592.8799999994,0.0,0.0
737,738,1,10134.35,10142.69,-0.08229437507092359,short,Max Drawdown Limit,110,-917.400000000016,1115675.4799999995,0.0822282120962188,0.08216065286032517
739,740,1,10372.25,10185.05,-1.804815734291024,long,Max Drawdown Limit,107,-20030.400000000078,1095645.0799999994,1.8281832653326158,1.795360780000305
